owner_category,owner_name,parcels,total_lot_acres,avg_lot_sqft,total_assessed_value,cities
3 Municipal,CUPERTINO CITY,26,174.4,292588,0,CUPERTINO
3 Municipal,CITY OF MOUNTAIN VIEW,22,322.8,639079,16814844,MOUNTAIN VIEW
3 Municipal,CITY OF SANTA CLARA,21,151.3,323038,157078080,SANTA CLARA
3 Municipal,CAMPBELL CITY,18,36.4,87983,0,CAMPBELL
3 Municipal,SAN FRANCISCO CITY & CO OF SFPUC,14,706.6,2198450,1958346,"MOUNTAIN VIEW, PALO ALTO, SAN JOSE, SUNNYVALE"
3 Municipal,SAN FRANCISCO CITY & CO OF,13,29.6,99032,2120470,"MOUNTAIN VIEW, PALO ALTO, SAN JOSE, SUNNYVALE"
3 Municipal,CITY OF PALO ALTO,9,198.9,962739,8387537,PALO ALTO
3 Municipal,CITY OF SUNNYVALE,9,16.8,81448,4596847,SUNNYVALE
3 Municipal,CITY OF CAMPBELL,8,20.9,113935,83447665,CAMPBELL
3 Municipal,CITY OF SAN JOSE-PUBLIC WORKS,7,44.8,278697,0,SAN JOSE
3 Municipal,SANTA CLARA CITY OF SPORTS & OPEN S,5,45.5,396487,0,SANTA CLARA
3 Municipal,SUNNYVALE CITY (CA),4,3.5,38016,690489,SUNNYVALE
3 Municipal,CITY OF SAN JOSE PUBLIC WORKS,3,3.1,45443,0,SAN JOSE
3 Municipal,REDEVELOPMENT AGENCY SAN JOSE,3,0.7,10457,0,SAN JOSE
3 Municipal,MOUNTAIN VIEW CITY (CA),3,2.1,29938,7199499,MOUNTAIN VIEW
3 Municipal,SAN JOSE CITY RE DIV,2,0.9,23792,0,SAN JOSE
3 Municipal,PALO ALTO CITY (CA),2,9.5,206788,0,PALO ALTO
3 Municipal,REDEV AGENCY CITY SAN JOSE,2,0.7,15814,0,SAN JOSE
3 Municipal,SAN FRANCISCO CITY & COUNTY OF SFPU,2,2.8,62059,727129,MOUNTAIN VIEW
3 Municipal,SAN FRANCISCO CITY & COUNTY OF SFPUC,2,3.5,75380,53412,SUNNYVALE
3 Municipal,SAN JOSE CITY FINANCING AUTHORITY,2,2.5,54382,0,SAN JOSE
3 Municipal,SAN JOSE CITY PUBLIC WORKS DEP,2,1.1,22988,0,SAN JOSE
3 Municipal,SANTA CLARA CITY (CA),2,9.4,205249,68089816,SANTA CLARA
3 Municipal,CUPERTINO CITY (CA),1,5.1,223898,0,CUPERTINO
3 Municipal,CITY OF SAN JOSE HOUSING,1,0.2,10000,0,SAN JOSE
3 Municipal,CAMPBELL CITY (CA),1,0.9,39990,0,CAMPBELL
3 Municipal,CITY OF SANTA CLARA CALIFORNIA,1,2.5,107593,6167167,SANTA CLARA
3 Municipal,CITY OF SAN JOSE RE SVCS & ASS,1,0.2,9322,0,SAN JOSE
3 Municipal,SAN JOSE CITY CITY CLERKS OFF,1,118.9,5180590,0,SAN JOSE
3 Municipal,SAN JOSE CITY DEPT OF PUBLIC W,1,0.3,11408,0,SAN JOSE
3 Municipal,SAN JOSE CITY DEPT OF TRANSPTN,1,0.0,7313,0,SAN JOSE
3 Municipal,SAN JOSE CITY ETAL,1,1.4,59039,0,SAN JOSE
3 Municipal,CITY OF MT VIEW,1,26.6,1158260,0,MOUNTAIN VIEW
3 Municipal,SAN JOSE CITY LEASE HEWLETT-PACKARD CO,1,7.1,310956,0,SAN JOSE
3 Municipal,SAN JOSE CITY LEASE SJ JET CENTER INC,1,15.2,660831,0,SAN JOSE
3 Municipal,SAN JOSE CITY OF 200 EDENVALE AVE HOT EL OWNERS LL,1,19.4,845265,0,SAN JOSE
3 Municipal,SAN JOSE CITY PUBLIC WORKS,1,0.8,35410,0,SAN JOSE
3 Municipal,CAMPBELL CITY REDEVELOPMENT AG,1,4.0,173368,0,CAMPBELL
3 Municipal,SAN JOSE CITY PUBLIC WORKS RE,1,1.3,56719,0,SAN JOSE
3 Municipal,MOUNTAIN VIEW CITY,1,2.8,123233,0,MOUNTAIN VIEW
3 Municipal,CITY OF SAN JOSE REAL ESTATE,1,3.0,129808,0,SAN JOSE
3 Municipal,SAN JOSE CITY SPECIALTY RESTAURANTS CORP,1,3.0,129995,0,SAN JOSE
3 Municipal,REDEV AGENCY CITY SUNNYVALE,1,2.0,85125,78,SUNNYVALE
3 Municipal,MILPITAS CITY,1,4.9,213359,0,SAN JOSE
3 Municipal,JOSE CITY OF PUBLIC WORKS RE,1,1.5,63398,0,SAN JOSE
3 Municipal,HOUSING AUTHORITY SANTA CLARA,1,0.2,6600,0,SANTA CLARA
4 School / Public Ed,SAN JOSE UNIFIED S D,44,396.0,408377,0,SAN JOSE
4 School / Public Ed,ROCK UNION S D ALUM,27,267.0,430684,0,SAN JOSE
4 School / Public Ed,GROVE S D OAK,21,218.4,453027,0,SAN JOSE
4 School / Public Ed,UNION S D CUPERTINO,20,226.8,494053,0,"CUPERTINO, SAN JOSE, SUNNYVALE"
4 School / Public Ed,UNION S D BERRYESSA,19,183.9,421545,0,SAN JOSE
4 School / Public Ed,SIDE UNION H S D EAST,19,423.8,1070195,0,SAN JOSE
4 School / Public Ed,S D EVERGREEN,19,155.5,374114,0,SAN JOSE
4 School / Public Ed,SANTA CLARA UNIFIED S D,18,244.3,591272,0,"SANTA CLARA, SUNNYVALE"
4 School / Public Ed,MCKINLEY S D FRANKLIN,17,147.2,377228,0,SAN JOSE
4 School / Public Ed,UNION S D CAMPBELL,15,119.4,346822,0,"CAMPBELL, SAN JOSE"
4 School / Public Ed,PALO ALTO UNIFIED S D,14,213.4,663866,0,PALO ALTO
4 School / Public Ed,S D SUNNYVALE,14,82.8,257533,0,SUNNYVALE
4 School / Public Ed,S D UNION,13,167.8,562214,0,"CAMPBELL, SAN JOSE"
4 School / Public Ed,S D MORELAND,12,133.4,484203,0,"CAMPBELL, SAN JOSE"
4 School / Public Ed,PLEASANT S D MT,8,24.7,361184,0,SAN JOSE
4 School / Public Ed,WEST VALLEYMISSION COMMUNITY COLLEGE DIST,6,116.0,842275,0,SANTA CLARA
4 School / Public Ed,REGENTS OF UNIVERSITY/CALIFORNIA,6,1653.9,12007207,0,SAN JOSE
4 School / Public Ed,LOS ALTOS SCHOOL DISTRICT,5,11.7,101930,0,MOUNTAIN VIEW
4 School / Public Ed,UNION H S D CAMPBELL,5,119.9,1101125,0,SAN JOSE
